Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Expected trend in production (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of stocks of manufactured products (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Past trend in production (balance of opinion) - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,Business climate summary indicator - All sectors - Metropolitan France,Employment climate summary indicator - All sectors - Metropolitan France
2000-03-31,12.5,76.75,64.91333333333334,8.2,14.066666666666668,90.76666666666667,99.96666666666665,17.766666666666666,73.54666666666667,34.333333333333336,15.166666666666666,13.666666666666666,2.1666666666666665,27.53333333333333,109.27,21.5,33.36666666666667,26.7,11.0,116.0,115.76666666666667
2000-06-30,10.55,77.62666666666667,65.87333333333333,9.1,21.766666666666666,92.26666666666667,100.48,25.766666666666666,73.71333333333334,38.1,20.7,20.666666666666668,2.4666666666666663,29.566666666666666,111.07333333333334,34.4,36.699999999999996,30.03333333333333,11.1,115.33333333333333,115.8
2000-09-30,12.733333333333334,77.58999999999999,68.23666666666666,13.0,21.099999999999998,93.13333333333333,99.94666666666666,27.5,74.14999999999999,40.36666666666667,20.599999999999998,21.5,2.2333333333333334,32.666666666666664,111.14333333333333,42.9,33.93333333333333,27.433333333333334,12.200000000000001,117.10000000000001,117.86666666666667
2000-12-31,12.833333333333334,78.33666666666666,68.89999999999999,11.2,11.533333333333333,94.16666666666667,100.81333333333333,27.8,73.99,37.9,24.0,11.4,5.633333333333333,28.566666666666663,112.84333333333332,34.800000000000004,23.03333333333333,24.666666666666668,14.5,115.06666666666666,119.86666666666667
2001-03-31,14.233333333333334,79.57666666666667,65.35333333333334,12.0,5.266666666666667,93.73333333333333,100.36333333333334,21.133333333333336,74.23666666666666,33.2,15.833333333333334,8.466666666666667,11.033333333333333,9.766666666666667,113.60666666666667,28.76666666666667,10.666666666666666,18.400000000000002,12.566666666666668,112.86666666666667,117.60000000000001
2001-06-30,10.433333333333334,82.02,67.41333333333334,-1.4,-0.2333333333333333,93.3,101.31,13.5,74.63666666666667,16.866666666666664,7.433333333333334,-1.3,14.6,4.1000000000000005,112.42666666666666,26.433333333333337,-16.266666666666666,7.566666666666666,6.866666666666667,106.33333333333333,112.89999999999999
2001-09-30,7.833333333333333,82.17666666666668,66.23333333333333,2.1,-12.666666666666666,92.03333333333335,100.83,6.866666666666667,75.25333333333333,7.1000000000000005,3.0666666666666664,-16.2,17.2,-3.466666666666667,112.18333333333332,17.7,-37.43333333333333,1.3,1.1666666666666667,101.43333333333334,107.13333333333333
2001-12-31,-3.3333333333333335,82.26,64.34333333333333,-7.6,-21.0,92.5,101.53666666666668,2.4,75.31333333333333,-0.9,-8.433333333333334,-20.099999999999998,17.733333333333334,-6.8,110.35666666666667,11.766666666666666,-48.26666666666667,-5.766666666666667,-2.533333333333333,96.36666666666667,104.66666666666667
2002-03-31,-4.633333333333334,83.72333333333334,63.44333333333333,-4.5,-18.666666666666668,92.26666666666667,101.19333333333333,2.3333333333333335,76.05,-3.466666666666667,5.400000000000001,-20.8,13.466666666666667,-4.033333333333334,111.41666666666667,9.333333333333334,-34.36666666666667,-11.133333333333333,0.9999999999999999,99.39999999999999,101.66666666666667
2002-06-30,2.1333333333333333,83.90666666666667,64.85666666666667,2.0,-14.6,92.5,101.97666666666667,-0.7666666666666666,76.68666666666667,-2.6333333333333333,12.1,-14.200000000000001,10.566666666666666,-4.7,111.39999999999999,10.9,-6.733333333333333,-4.166666666666667,5.166666666666667,103.16666666666667,104.13333333333333
