,Foreign_trade_index_Imports_agriculture,CentralGovDebt,domestic_demand_on_GDP_x,domestic_demand_on_GDP_y,Foreign_trade_index_Exports_Food_products,Unemployment,ConsumerPrices,GNI(dollars),LaborParticipation,GDP(dollars)
2006-06-01,-0.765467917948393,,0.27912766262941535,0.27912766262941535,-1.0886478765566263,,,,,
2006-07-01,-0.737754655699666,,,,-1.1478442710163734,,,,,
2006-08-01,-0.5784033977694831,,,,-1.1309310154564456,,,,,
2006-09-01,-0.7169697090131206,,-0.053441492479929374,-0.05344149247992935,-1.046364737656807,,,,,
2006-10-01,-0.9456041225651223,,,,-0.9787117154170965,,,,,
2006-11-01,-0.9941023315003955,,,,-0.9533418320772051,,,,,
2006-12-01,-0.9386758070029398,,0.20756214823879687,0.2075621482387969,-0.987168343197061,,,,,
2007-01-01,-0.6061166600182101,-1.0165648581157356,,,-0.8941454376174579,-1.2929291797857216,-0.6921256003593692,1.378805831627141,0.9360299118337043,1.3781080157899528
2007-02-01,-0.5645467666451193,,,,-0.8434056709376753,,,,,
2007-03-01,-0.4675503487745726,,0.22019135666067066,0.2201913566606707,-0.8434056709376753,,,,,
2007-04-01,-0.4121238242771178,,,,-0.7757526486979647,,,,,
2007-05-01,-0.5506901355207553,,,,-0.7419261375781088,,,,,
2007-06-01,-0.6476865533913019,,0.2622887180669169,0.2622887180669169,-0.7672960209180001,,,,,
2007-07-01,-0.8278227580080302,,,,-0.7080996264582529,,,,,
2007-08-01,-0.765467917948393,,,,-0.5812502097587952,,,,,
2007-09-01,-0.3844105620283899,,0.08127006402005836,0.08127006402005837,-0.5135971875190846,,,,,
2007-10-01,-0.27355751303348036,,,,-0.42057428193948265,,,,,
2007-11-01,-0.2666291974712989,,,,-0.35292125969977206,,,,,
2007-12-01,-0.16270446403857075,,-0.07028043704242783,-0.07028043704242781,-0.2768116096800969,,,,,
2008-01-01,-0.14191951735202435,-0.7188632505267593,,,-0.15841882076060249,-1.678488277131989,-0.3326164501568834,1.6527674009647422,1.132143473498983,1.647464364617121
2008-02-01,0.1074998428865227,,,,-0.19224533188045836,,,,,
2008-03-01,0.12828478957306813,,-0.09974859002680014,-0.09974859002680013,-0.15841882076060249,,,,,
2008-04-01,0.017431740578158546,,,,-0.14150556520067573,,,,,
2008-05-01,0.08671489619997728,,,,-0.09922242630085647,,,,,
2008-06-01,-0.04492309948147871,,-0.3186548693392802,-0.3186548693392802,-0.03156940406114468,,,,,
2008-07-01,-0.06570804616802413,,,,0.002257107058710009,,,,,
2008-08-01,-0.01720983723275082,,,,0.002257107058710009,,,,,
2008-09-01,-0.010281521670569341,,-0.20078225740179095,-0.20078225740179093,-0.0061995207212533635,,,,,
2008-10-01,0.010503425015976082,,,,-0.02311277628118131,,,,,
2008-11-01,0.010503425015976082,,,,-0.09922242630085647,,,,,
2008-12-01,-0.17656109516293372,,-0.5922877184798803,-0.5922877184798803,-0.23452847078027764,,,,,
2009-01-01,-0.04492309948147871,-0.08274317302990518,,,-0.31909474857991615,-0.5989227432794675,-1.0721258088286416,1.4271798960653035,1.5897473256260253,1.4183509209428302
2009-02-01,-0.010281521670569341,,,,-0.3782911430396634,,,,,
2009-03-01,-0.09342130841675202,,-0.8785497760423542,-0.8785497760423542,-0.44594416527937397,,,,,
2009-04-01,-0.21813098853602556,,,,-0.5135971875190846,,,,,
2009-05-01,-0.19041772628729767,,,,-0.5558803264189038,,,,,
2009-06-01,-0.5784033977694831,,-0.39443011987052334,-0.39443011987052334,-0.5135971875190846,,,,,
2009-07-01,-0.9525324381273037,,,,-0.5981634653187231,,,,,
2009-08-01,-1.0218155937491225,,,,-0.5474236986389405,,,,,
2009-09-01,-0.6684715000778473,,-0.1965725212611663,-0.19657252126116628,-0.5643369541988684,,,,,
2009-10-01,-0.5714750822073007,,,,-0.6658164875584336,,,,,
2009-11-01,-0.5506901355207553,,,,-0.6573598597784702,,,,,
2009-12-01,-0.5299051888342099,,0.55697024791064,0.55697024791064,-0.5558803264189038,,,,,
2010-01-01,-0.16270446403857075,0.036310070407063515,,,-0.5135971875190846,-0.5153848520368901,-0.6804234893123956,1.3719520520665416,1.4372071666754902,1.3627249935725636
2010-02-01,0.05900163395124939,,,,-0.45440079305933734,,,,,
2010-03-01,0.301492678627615,,-0.364961966886151,-0.364961966886151,-0.5051405597391212,,,,,
2010-04-01,0.6063385633636178,,,,-0.4966839319591566,,,,,
2010-05-01,0.4262023587468885,,,,-0.429030909719446,,,,,
